CHR_ID	START	END	SNPS	DISEASE/TRAIT	celltype	MAPPED_GENE
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ATXN2L
chr16	30010080	30010081	rs1140239	Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	DOC2A
chr16	51149816	51149817	rs11643654	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SALL1
chr17	36594773	36594774	rs2285640	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	DHRS11
chr17	44114524	44114525	rs228768	Bipolar disorder	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	HDAC5
chr17	45998696	45998697	rs2471738	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MAPT
chr17	46144469	46144470	rs2696589	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	KANSL1
chr17	52508537	52508538	rs16951547	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC01982
chr17	58331727	58331728	rs2632516	Late-onset Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MIR142HG, TSPOAP1-AS1
chr17	58331727	58331728	rs2632516	Alzheimer's disease (late onset)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MIR142HG, TSPOAP1-AS1
chr17	58331727	58331728	rs2632516	Alzheimer's disease or family history of Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MIR142HG, TSPOAP1-AS1
chr17	75041772	75041773	rs7210415	Bipolar disorder	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	KCTD2, RN7SL573P, ATP5PD
chr18	55400722	55400723	rs7235757	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TCF4
chr18	55865957	55865958	rs72934570	Schizophrenia	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC01415 - LINC01416
chr19	2341048	2341049	rs55818311	Parkinson's disease or first degree relation to individual with Parkinson's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SPPL2B
chr19	44634021	44634022	rs539159088	Alzheimer's disease or family history of Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CEACAM16-AS1, IGSF23
chr19	44848258	44848259	rs41289512	Alzheimer's disease or family history of Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NECTIN2
chr19	44848258	44848259	rs41289512	Alzheimer's disease (late onset)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NECTIN2
chr19	51224705	51224706	rs3865444	Alzheimer's disease or family history of Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SIGLEC22P - CD33
chr19	51224705	51224706	rs3865444	Alzheimer's disease (late onset)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SIGLEC22P - CD33
chr19	54267596	54267597	rs587709	Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	RNU6-1307P - LILRB2
chr2	60477797	60477798	rs7593947	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	BCL11A
chr2	60483435	60483436	rs13019832	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	BCL11A
chr2	60486099	60486100	rs10189857	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	BCL11A
chr2	71443985	71443986	rs11126331	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ZNF638 - DYSF
chr2	82216982	82216983	rs11678106	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	RN7SL201P - LYARP1
chr2	105749598	105749599	rs143080277	Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NCK2
chr2	161962110	161962111	rs4500960	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SLC4A10
chr21	26148612	26148613	rs2154482	Late-onset Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	APP
chr3	23798392	23798393	rs9851068	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	RNU6-788P - UBE2E1-AS1
chr3	24101726	24101727	rs4561770	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC00691
chr3	48944901	48944902	rs55786114	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ARIH2
chr3	108038212	108038213	rs696366	Bipolar disorder	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC00636 - CD47
chr3	161127153	161127154	rs7633857	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NMD3
chr4	24494343	24494344	rs59143394	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PPARGC1A - DHX15
chr4	89715478	89715479	rs5019538	Parkinson's disease or first degree relation to individual with Parkinson's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SNCA
chr4	105185195	105185196	rs10010325	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TET2-AS1, TET2
chr4	105264505	105264506	rs2647249	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TET2-AS1, TET2
chr4	182245315	182245316	rs7696796	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TENM3
chr5	88749211	88749212	rs10514303	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MEF2C, MEF2C-AS2
chr5	88810440	88810441	rs700590	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MEF2C
chr5	88867953	88867954	rs61104616	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MEF2C
chr5	108395308	108395309	rs10078397	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FBXL17 - LINC01023
chr5	111670872	111670873	rs255896	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NREP, STARD4-AS1
chr6	32582544	32582545	rs9269853	Alzheimer's disease (late onset)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	HLA-DRB1
chr7	1993167	1993168	rs11764590	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MAD1L1
chr7	128769957	128769958	rs1043595	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CALU
chr7	133945709	133945710	rs4728302	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	EXOC4
chr8	8237347	8237348	rs2980439	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FAM85B, FAM86B3P
chr8	9175582	9175583	rs393155	Neuroticism	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PPP1R3B-DT
chr8	27610168	27610169	rs9331896	Alzheimer's disease or family history of Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CLU
chr8	27610168	27610169	rs9331896	Alzheimer's disease (late onset)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CLU
chr8	27610168	27610169	rs9331896	Family history of Alzheimer's disease	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CLU
chr8	141609133	141609134	rs1106761	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	C8orf90 - MIR1302-7
chr8	141609133	141609134	rs1106761	Educational attainment (years of education)	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	C8orf90 - MIR1302-7
chr9	23799240	23799241	rs810681	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ELAVL2
chr9	23805570	23805571	rs702222	Intelligence	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ELAVL2
chr9	77685833	77685834	rs189574365	Bipolar disorder	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	GNA14 - GNAQ
chrX	73035873	73035874	rs140643378	Bipolar disorder	STR_RSPO2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PABPC1L2B-AS1
chr1	22099148	22099149	rs10917152	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CDC42
chr1	36777141	36777142	rs490647	Neuroticism	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FTLP18 - GRIK3
chr1	41364413	41364414	rs56044892	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FOXO6
chr1	41369960	41369961	rs4636447	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FOXO6
chr1	43634412	43634413	rs11210892	Schizophrenia	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PTPRF - KDM4A
chr1	77524237	77524238	rs12754946	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	AK5
chr1	103074424	103074425	rs7522293	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	COL11A1
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ADAMTS4
chr1	216656785	216656786	rs11117646	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ESRRG
chr10	59978393	59978394	rs7902657	Late-onset Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC01553 - ANK3
chr10	60366097	60366098	rs10994318	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ANK3
chr10	80494227	80494228	rs6586028	Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TSPAN14
chr11	16334224	16334225	rs297346	Neuroticism	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SOX6
chr11	64242406	64242407	rs4672	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FKBP2
chr11	66081266	66081267	rs475805	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PACS1
chr12	32657824	32657825	rs181609621	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FGD4 - DNM1L
chr12	91760492	91760493	rs1389473	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC02823 - LINC02404
chr14	29160249	29160250	rs10483349	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC02327
chr14	32749086	32749087	rs142370491	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	AKAP6
chr14	32809803	32809804	rs12885221	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	AKAP6
chr14	32834310	32834311	rs7146202	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	AKAP6
chr14	37520064	37520065	rs12147950	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MIPOL1
chr15	47286806	47286807	rs1378214	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SEMA6D
chr15	47394464	47394465	rs281302	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SEMA6D
chr16	28296618	28296619	rs33957528	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SBK1
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ATXN2L
chr16	30010080	30010081	rs1140239	Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	DOC2A
chr16	52935513	52935514	rs10221156	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PHB1P21
chr17	44216968	44216969	rs2269906	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ATXN7L3-AS1, UBTF
chr17	44357261	44357262	rs850738	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FAM171A2
chr17	45998696	45998697	rs2471738	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MAPT
chr17	46696416	46696417	rs199441	Neuroticism	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NSF
chr17	52508537	52508538	rs16951547	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC01982
chr17	58331727	58331728	rs2632516	Late-onset Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MIR142HG, TSPOAP1-AS1
chr17	58331727	58331728	rs2632516	Alzheimer's disease (late onset)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MIR142HG, TSPOAP1-AS1
chr17	58331727	58331728	rs2632516	Alzheimer's disease or family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MIR142HG, TSPOAP1-AS1
chr18	37579160	37579161	rs9964724	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CELF4 - MIR4318
chr18	62576642	62576643	rs11557713	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ZCCHC2
chr19	44544862	44544863	rs75161053	Alzheimer's disease or family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CEACAM22P
chr19	45040496	45040497	rs76856627	Alzheimer's disease or family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CLASRP
chr19	45045876	45045877	rs112481437	Alzheimer's disease or family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CLASRP
chr19	54267596	54267597	rs587709	Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	RNU6-1307P - LILRB2
chr2	17966581	17966582	rs76116224	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	KCNS3
chr2	23711945	23711946	rs12470949	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	KLHL29 - ATAD2B
chr2	51023366	51023367	rs7557525	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NRXN1
chr2	60477797	60477798	rs7593947	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	BCL11A
chr2	60483435	60483436	rs13019832	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	BCL11A
chr2	60486099	60486100	rs10189857	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	BCL11A
chr2	71443985	71443986	rs11126331	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ZNF638 - DYSF
chr2	100260907	100260908	rs2067783	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC01104 - LONRF2
chr2	143505710	143505711	rs10191758	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ARHGAP15
chr2	161104413	161104414	rs7591506	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TANK-AS1
chr2	192983613	192983614	rs59979824	Schizophrenia	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PCGEM1 - SLC44A3P1
chr20	3184039	3184040	rs2295545	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LZTS3 - DDRGK1
chr3	23891682	23891683	rs2885034	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NKIRAS1
chr3	35495840	35495841	rs1523041	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	RNU6-243P - ARPP21
chr3	108074861	108074862	rs3804640	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CD47
chr4	89715478	89715479	rs5019538	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SNCA
chr4	105185195	105185196	rs10010325	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TET2-AS1, TET2
chr4	105223577	105223578	rs6839705	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TET2, TET2-AS1
chr4	105264505	105264506	rs2647249	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TET2-AS1, TET2
chr4	105297981	105297982	rs1603705	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TET2-AS1
chr4	105404742	105404743	rs9992793	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PPA2
chr4	140024811	140024812	rs1912528	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MAML3
chr5	15113629	15113630	rs77626951	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC02149
chr5	58361929	58361930	rs13157057	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	LINC02101 - PLK2
chr5	88749211	88749212	rs10514303	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MEF2C, MEF2C-AS2
chr5	88899132	88899133	rs770463	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MEF2C-AS1, MEF2C
chr5	140645898	140645899	rs778591	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	NDUFA2
chr5	140738304	140738305	rs17208215	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	VTRNA1-3 - PCDHA1
chr5	166071273	166071274	rs31768	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	RPL7P20 - RPLP0P9
chr6	47520025	47520026	rs10948363	Alzheimer's disease (late onset)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CD2AP
chr6	47520025	47520026	rs10948363	Alzheimer's disease or family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CD2AP
chr6	156822204	156822205	rs287879	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ARID1B
chr7	1856776	1856777	rs4236274	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MAD1L1
chr7	8069891	8069892	rs4725065	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	GLCCI1
chr7	72227404	72227405	rs7808347	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CALN1
chr7	72782784	72782785	rs11976020	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	TYW1B
chr7	100334425	100334426	rs7384878	Late-onset Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PMS2P1
chr7	100334425	100334426	rs7384878	Family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PMS2P1
chr7	100334425	100334426	rs7384878	Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PMS2P1
chr7	114264005	114264006	rs11771168	Educational attainment (years of education)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FOXP2
chr8	9938810	9938811	rs615632	Neuroticism	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MIR124-1HG - MSRA-DT
chr8	27610168	27610169	rs9331896	Alzheimer's disease or family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CLU
chr8	27610168	27610169	rs9331896	Alzheimer's disease (late onset)	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CLU
chr8	27610168	27610169	rs9331896	Family history of Alzheimer's disease	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CLU
chr8	59787909	59787910	rs6984242	Schizophrenia	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	RNA5SP267 - SLC2A13P1
chr8	92168736	92168737	rs2920940	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	RUNX1T1 - FLJ46284
chr9	23737628	23737629	rs3793577	Neuroticism	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ELAVL2
chr9	23799240	23799241	rs810681	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ELAVL2
chr9	23805570	23805571	rs702222	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ELAVL2
chr9	23857084	23857085	rs1699462	Intelligence	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ELAVL2 - IZUMO3
chr9	77685833	77685834	rs189574365	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	GNA14 - GNAQ
chr9	126444552	126444553	rs10122788	Bipolar disorder	CN_MEIS2_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	MVB12B
chr1	41364413	41364414	rs56044892	Educational attainment (years of education)	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	FOXO6
chr1	43560984	43560985	rs12076635	Educational attainment (years of education)	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PTPRF
chr1	77524237	77524238	rs12754946	Educational attainment (years of education)	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	AK5
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ADAMTS4
chr1	216656785	216656786	rs11117646	Intelligence	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	ESRRG
chr10	11679119	11679120	rs11257242	Alzheimer's disease (late onset)	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	USP6NL-AS1 - ECHDC3
chr10	66205251	66205252	rs7914680	Educational attainment (years of education)	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	CTNNA3
chr11	16334224	16334225	rs297346	Neuroticism	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	SOX6
chr11	66081266	66081267	rs475805	Bipolar disorder	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	PACS1
chr11	89140983	89140984	rs10830220	Neuroticism	STR_SST-CHODL_GABA.hypo.dmr.full.tsv.hypo.dmr.bed	GRM5 - TYR
