CHR_ID	START	END	SNPS	DISEASE/TRAIT	celltype	MAPPED_GENE
chr22	41974986	41974987	rs5751191	Intelligence	STR_D1_MSN.hypo.dmr.bed	SEPTIN3
chr3	23973648	23973649	rs28522849	Intelligence	STR_D1_MSN.hypo.dmr.bed	NR1D2
chr3	35660128	35660129	rs6784162	Intelligence	STR_D1_MSN.hypo.dmr.bed	ARPP21
chr3	36814538	36814539	rs9834970	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	HSPD1P6 - LINC02033
chr3	36814538	36814539	rs9834970	Bipolar disorder	STR_D1_MSN.hypo.dmr.bed	HSPD1P6 - LINC02033
chr3	54200694	54200695	rs4485754	Intelligence	STR_D1_MSN.hypo.dmr.bed	CACNA2D3
chr3	155084188	155084189	rs61762319	Alzheimer's disease	STR_D1_MSN.hypo.dmr.bed	MME
chr4	993554	993555	rs3822030	Alzheimer's disease	STR_D1_MSN.hypo.dmr.bed	IDUA
chr4	67104382	67104383	rs6819372	Intelligence	STR_D1_MSN.hypo.dmr.bed	RNU6-699P - RNU1-63P
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	STR_D1_MSN.hypo.dmr.bed	CAMK2D
chr4	175705120	175705121	rs12640626	Educational attainment (years of education)	STR_D1_MSN.hypo.dmr.bed	GPM6A
chr6	13775674	13775675	rs6459098	Intelligence	STR_D1_MSN.hypo.dmr.bed	RANBP9 - MCUR1
chr6	20893015	20893016	rs6456379	Intelligence	STR_D1_MSN.hypo.dmr.bed	CDKAL1
chr6	75826615	75826616	rs1280049	Intelligence	STR_D1_MSN.hypo.dmr.bed	MYO6
chr6	98004803	98004804	rs9401452	Intelligence	STR_D1_MSN.hypo.dmr.bed	MMS22L - MIR2113
chr6	108622961	108622962	rs3813498	Intelligence	STR_D1_MSN.hypo.dmr.bed	FOXO3
chr7	32453556	32453557	rs1580019	Intelligence	STR_D1_MSN.hypo.dmr.bed	PDE1C - SLC25A5P5
chr7	44773007	44773008	rs12702087	Educational attainment (years of education)	STR_D1_MSN.hypo.dmr.bed	ZMIZ2 - PPIA
chr7	44795553	44795554	rs4720485	Intelligence	STR_D1_MSN.hypo.dmr.bed	ZMIZ2 - PPIA
chr7	70506033	70506034	rs3094893	Intelligence	STR_D1_MSN.hypo.dmr.bed	AUTS2
chr7	86665635	86665636	rs802425	Neuroticism	STR_D1_MSN.hypo.dmr.bed	GRM3
chr7	100479649	100479650	rs2406253	Educational attainment (years of education)	STR_D1_MSN.hypo.dmr.bed	TSC22D4 - NYAP1
chr7	127898505	127898506	rs3757771	Intelligence	STR_D1_MSN.hypo.dmr.bed	SND1
chr8	144461121	144461122	rs11774212	Educational attainment (years of education)	STR_D1_MSN.hypo.dmr.bed	TMEM276-ZFTRAF1, ZFTRAF1
chr9	1787686	1787687	rs11998763	Educational attainment (years of education)	STR_D1_MSN.hypo.dmr.bed	RNA5SP279 - SMARCA2
chr9	17727066	17727067	rs10756907	Parkinson's disease or first degree relation to individual with Parkinson's disease	STR_D1_MSN.hypo.dmr.bed	SH3GL2
chr9	131835213	131835214	rs2987390	Intelligence	STR_D1_MSN.hypo.dmr.bed	EIF4A1P3 - MED27
chr1	43548608	43548609	rs2842188	Intelligence	CN_ST18_GABA.hyper.dmr.bed	PTPRF
chr11	57680559	57680560	rs10896636	Neuroticism	CN_ST18_GABA.hyper.dmr.bed	ZDHHC5
chr11	124744060	124744061	rs55661361	Autism and schizophrenia (MTAG)	CN_ST18_GABA.hyper.dmr.bed	NRGN
chr11	124744060	124744061	rs55661361	Schizophrenia	CN_ST18_GABA.hyper.dmr.bed	NRGN
chr15	40430581	40430582	rs11634187	Intelligence	CN_ST18_GABA.hyper.dmr.bed	IVD
chr19	58578895	58578896	rs73068339	Intelligence	CN_ST18_GABA.hyper.dmr.bed	MZF1-AS1
chr2	60483435	60483436	rs13019832	Intelligence	CN_ST18_GABA.hyper.dmr.bed	BCL11A
chr2	65532536	65532537	rs3911862	Bipolar disorder	CN_ST18_GABA.hyper.dmr.bed	LINC02934
chr2	161104413	161104414	rs7591506	Intelligence	CN_ST18_GABA.hyper.dmr.bed	TANK-AS1
chr2	165295878	165295879	rs17183814	Bipolar disorder	CN_ST18_GABA.hyper.dmr.bed	SCN2A
chr2	165295878	165295879	rs17183814	Bipolar disorder	CN_ST18_GABA.hyper.dmr.bed	SCN2A
chr22	41974986	41974987	rs5751191	Intelligence	CN_ST18_GABA.hyper.dmr.bed	SEPTIN3
chr3	54200694	54200695	rs4485754	Intelligence	CN_ST18_GABA.hyper.dmr.bed	CACNA2D3
chr4	67104382	67104383	rs6819372	Intelligence	CN_ST18_GABA.hyper.dmr.bed	RNU6-699P - RNU1-63P
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_ST18_GABA.hyper.dmr.bed	CAMK2D
chr6	20893015	20893016	rs6456379	Intelligence	CN_ST18_GABA.hyper.dmr.bed	CDKAL1
chr6	75826615	75826616	rs1280049	Intelligence	CN_ST18_GABA.hyper.dmr.bed	MYO6
chr6	98004803	98004804	rs9401452	Intelligence	CN_ST18_GABA.hyper.dmr.bed	MMS22L - MIR2113
chr6	108622961	108622962	rs3813498	Intelligence	CN_ST18_GABA.hyper.dmr.bed	FOXO3
chr7	86665635	86665636	rs802425	Neuroticism	CN_ST18_GABA.hyper.dmr.bed	GRM3
chr7	127898505	127898506	rs3757771	Intelligence	CN_ST18_GABA.hyper.dmr.bed	SND1
chr7	143413668	143413669	rs11771145	Alzheimer's disease or family history of Alzheimer's disease	CN_ST18_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease (late onset)	CN_ST18_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease	CN_ST18_GABA.hyper.dmr.bed	EPHA1-AS1
chr9	131835213	131835214	rs2987390	Intelligence	CN_ST18_GABA.hyper.dmr.bed	EIF4A1P3 - MED27
chr11	64242406	64242407	rs4672	Bipolar disorder	CN_GABA-Glut.hypo.dmr.bed	FKBP2
chr16	9832490	9832491	rs7199910	Bipolar disorder	CN_GABA-Glut.hypo.dmr.bed	GRIN2A
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	CN_GABA-Glut.hypo.dmr.bed	ATXN2L
chr18	37784133	37784134	rs12961969	Neuroticism	CN_GABA-Glut.hypo.dmr.bed	RPL12P40 - RN7SKP182
chr2	100260907	100260908	rs2067783	Intelligence	CN_GABA-Glut.hypo.dmr.bed	LINC01104 - LONRF2
chr2	134707045	134707046	rs57891859	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_GABA-Glut.hypo.dmr.bed	TMEM163
chr2	161104413	161104414	rs7591506	Intelligence	CN_GABA-Glut.hypo.dmr.bed	TANK-AS1
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_GABA-Glut.hypo.dmr.bed	CAMK2D
chr1	36777141	36777142	rs490647	Neuroticism	F_M_GATA3_GABA.hypo.dmr.bed	FTLP18 - GRIK3
chr1	41284975	41284976	rs12035012	Intelligence	F_M_GATA3_GABA.hypo.dmr.bed	SCMH1-DT
chr1	73302682	73302683	rs12129573	Schizophrenia	F_M_GATA3_GABA.hypo.dmr.bed	RN7SKP19 - LINC01360
chr1	73302682	73302683	rs12129573	Depression	F_M_GATA3_GABA.hypo.dmr.bed	RN7SKP19 - LINC01360
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	F_M_GATA3_GABA.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	F_M_GATA3_GABA.hypo.dmr.bed	ADAMTS4
chr10	101790523	101790524	rs149613931	Educational attainment (years of education)	F_M_GATA3_GABA.hypo.dmr.bed	OGA
chr11	60175341	60175342	rs7935829	Alzheimer's disease (late onset)	F_M_GATA3_GABA.hypo.dmr.bed	MS4A6A
chr11	123523927	123523928	rs77502336	Schizophrenia	F_M_GATA3_GABA.hypo.dmr.bed	GRAMD1B
chr11	123523927	123523928	rs77502336	Schizophrenia	F_M_GATA3_GABA.hypo.dmr.bed	GRAMD1B
chr15	47394464	47394465	rs281302	Educational attainment (years of education)	F_M_GATA3_GABA.hypo.dmr.bed	SEMA6D
chr15	64660499	64660500	rs76064345	Neuroticism	F_M_GATA3_GABA.hypo.dmr.bed	ZNF609
chr15	70296932	70296933	rs12148337	Schizophrenia	F_M_GATA3_GABA.hypo.dmr.bed	RNU6-745P - LINC02205
chr16	9832490	9832491	rs7199910	Bipolar disorder	F_M_GATA3_GABA.hypo.dmr.bed	GRIN2A
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	F_M_GATA3_GABA.hypo.dmr.bed	ATXN2L
chr16	53464742	53464743	rs8054299	Intelligence	F_M_GATA3_GABA.hypo.dmr.bed	RBL2
chr17	46655448	46655449	rs199491	Neuroticism	F_M_GATA3_GABA.hypo.dmr.bed	NSF
chr2	43889696	43889697	rs2955280	Intelligence	F_M_GATA3_GABA.hypo.dmr.bed	LRPPRC
chr2	100137027	100137028	rs4851251	Educational attainment (years of education)	F_M_GATA3_GABA.hypo.dmr.bed	AFF3
chr2	100260907	100260908	rs2067783	Intelligence	F_M_GATA3_GABA.hypo.dmr.bed	LINC01104 - LONRF2
chr2	147861184	147861185	rs7582403	Neuroticism	F_M_GATA3_GABA.hypo.dmr.bed	ACVR2A
chr3	136346722	136346723	rs9832813	Intelligence	F_M_GATA3_GABA.hypo.dmr.bed	STAG1
chr4	151671780	151671781	rs6535809	Intelligence	F_M_GATA3_GABA.hypo.dmr.bed	GATB
chr5	138515502	138515503	rs3849046	Schizophrenia	F_M_GATA3_GABA.hypo.dmr.bed	ETF1
chr6	111858434	111858435	rs17073012	Bipolar disorder	F_M_GATA3_GABA.hypo.dmr.bed	FYN
chr8	9938810	9938811	rs615632	Neuroticism	F_M_GATA3_GABA.hypo.dmr.bed	MIR124-1HG - MSRA-DT
chr8	11844612	11844613	rs1065712	Alzheimer's disease	F_M_GATA3_GABA.hypo.dmr.bed	CTSB
chr12	48991915	48991916	rs146865992	Intelligence	ACx_MEIS2_GABA.hypo.dmr.bed	WNT1 - DDN
chr17	52508537	52508538	rs16951547	Intelligence	ACx_MEIS2_GABA.hypo.dmr.bed	LINC01982
chr19	44634021	44634022	rs539159088	Alzheimer's disease or family history of Alzheimer's disease	ACx_MEIS2_GABA.hypo.dmr.bed	CEACAM16-AS1, IGSF23
chr2	60483435	60483436	rs13019832	Intelligence	ACx_MEIS2_GABA.hypo.dmr.bed	BCL11A
chr2	105749598	105749599	rs143080277	Alzheimer's disease	ACx_MEIS2_GABA.hypo.dmr.bed	NCK2
chr2	161999637	161999638	rs2268894	Intelligence	ACx_MEIS2_GABA.hypo.dmr.bed	DPP4
chr4	89744889	89744890	rs356203	Parkinson's disease or first degree relation to individual with Parkinson's disease	ACx_MEIS2_GABA.hypo.dmr.bed	SNCA
chr4	102217463	102217464	rs151412	Intelligence	ACx_MEIS2_GABA.hypo.dmr.bed	BANK1 - SLC39A8
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	ACx_MEIS2_GABA.hypo.dmr.bed	CAMK2D
chr6	108622961	108622962	rs3813498	Intelligence	ACx_MEIS2_GABA.hypo.dmr.bed	FOXO3
chr6	111858434	111858435	rs17073012	Bipolar disorder	ACx_MEIS2_GABA.hypo.dmr.bed	FYN
chr6	117483633	117483634	rs62433108	Bipolar disorder	ACx_MEIS2_GABA.hypo.dmr.bed	DCBLD1
chr7	74511612	74511613	rs60668206	Neuroticism	ACx_MEIS2_GABA.hypo.dmr.bed	GTF2IRD1
chr8	4323321	4323322	rs10503253	Schizophrenia	ACx_MEIS2_GABA.hypo.dmr.bed	CSMD1
chr1	29961103	29961104	rs1498232	Schizophrenia	OT_Granular_GABA.hypo.dmr.bed	LINC01756 - LINC01648
chr1	41284975	41284976	rs12035012	Intelligence	OT_Granular_GABA.hypo.dmr.bed	SCMH1-DT
chr1	41364413	41364414	rs56044892	Educational attainment (years of education)	OT_Granular_GABA.hypo.dmr.bed	FOXO6
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	OT_Granular_GABA.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	OT_Granular_GABA.hypo.dmr.bed	ADAMTS4
chr11	61752513	61752514	rs2956395	Bipolar disorder	OT_Granular_GABA.hypo.dmr.bed	MYRF-AS1
chr11	109507344	109507345	rs12421382	Schizophrenia	OT_Granular_GABA.hypo.dmr.bed	LINC02715
chr12	48991915	48991916	rs146865992	Intelligence	OT_Granular_GABA.hypo.dmr.bed	WNT1 - DDN
chr14	43505793	43505794	rs62002181	Bipolar disorder	OT_Granular_GABA.hypo.dmr.bed	HNRNPUP1 - KRT8P2
chr19	1066626	1066627	rs112131072	Alzheimer's disease	OT_Granular_GABA.hypo.dmr.bed	ARHGAP45
chr19	44634021	44634022	rs539159088	Alzheimer's disease or family history of Alzheimer's disease	OT_Granular_GABA.hypo.dmr.bed	CEACAM16-AS1, IGSF23
chr2	27843254	27843255	rs74446114	Bipolar disorder	OT_Granular_GABA.hypo.dmr.bed	RBKS, MRPL33
chr2	60483435	60483436	rs13019832	Intelligence	OT_Granular_GABA.hypo.dmr.bed	BCL11A
chr2	147861184	147861185	rs7582403	Neuroticism	OT_Granular_GABA.hypo.dmr.bed	ACVR2A
chr3	48694053	48694054	rs3172494	Educational attainment (years of education)	OT_Granular_GABA.hypo.dmr.bed	IP6K2
chr3	49994406	49994407	rs35012435	Intelligence	OT_Granular_GABA.hypo.dmr.bed	RBM6
chr5	58361929	58361930	rs13157057	Intelligence	OT_Granular_GABA.hypo.dmr.bed	LINC02101 - PLK2
chr6	20893015	20893016	rs6456379	Intelligence	OT_Granular_GABA.hypo.dmr.bed	CDKAL1
chr6	111858434	111858435	rs17073012	Bipolar disorder	OT_Granular_GABA.hypo.dmr.bed	FYN
chr7	8204381	8204382	rs10952097	Alzheimer's disease	OT_Granular_GABA.hypo.dmr.bed	ICA1
chr7	32453556	32453557	rs1580019	Intelligence	OT_Granular_GABA.hypo.dmr.bed	PDE1C - SLC25A5P5
chr7	37844190	37844191	rs6966331	Alzheimer's disease	OT_Granular_GABA.hypo.dmr.bed	GPR141 - NME8
chr7	74511612	74511613	rs60668206	Neuroticism	OT_Granular_GABA.hypo.dmr.bed	GTF2IRD1
chr7	99934131	99934132	rs148490894	Educational attainment (years of education)	OT_Granular_GABA.hypo.dmr.bed	GJC3 - Y_RNA
chr7	100479649	100479650	rs2406253	Educational attainment (years of education)	OT_Granular_GABA.hypo.dmr.bed	TSC22D4 - NYAP1
chr7	127898505	127898506	rs3757771	Intelligence	OT_Granular_GABA.hypo.dmr.bed	SND1
chr1	43548608	43548609	rs2842188	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	PTPRF
chr11	57680559	57680560	rs10896636	Neuroticism	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	ZDHHC5
chr11	124744060	124744061	rs55661361	Autism and schizophrenia (MTAG)	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	NRGN
chr11	124744060	124744061	rs55661361	Schizophrenia	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	NRGN
chr13	68796168	68796169	rs7999314	Neuroticism	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	RN7SL761P - LINC00550
chr15	40430581	40430582	rs11634187	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	IVD
chr16	89566316	89566317	rs12932628	Bipolar disorder	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	RPL13
chr19	58578895	58578896	rs73068339	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	MZF1-AS1
chr2	65532536	65532537	rs3911862	Bipolar disorder	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	LINC02934
chr2	161104413	161104414	rs7591506	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	TANK-AS1
chr2	165295878	165295879	rs17183814	Bipolar disorder	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	SCN2A
chr2	165295878	165295879	rs17183814	Bipolar disorder	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	SCN2A
chr22	41974986	41974987	rs5751191	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	SEPTIN3
chr3	48694053	48694054	rs3172494	Educational attainment (years of education)	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	IP6K2
chr3	54200694	54200695	rs4485754	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	CACNA2D3
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	CAMK2D
chr6	20893015	20893016	rs6456379	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	CDKAL1
chr6	75826615	75826616	rs1280049	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	MYO6
chr6	98004803	98004804	rs9401452	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	MMS22L - MIR2113
chr6	108622961	108622962	rs3813498	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	FOXO3
chr7	32453556	32453557	rs1580019	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	PDE1C - SLC25A5P5
chr7	44773007	44773008	rs12702087	Educational attainment (years of education)	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	ZMIZ2 - PPIA
chr7	44795553	44795554	rs4720485	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	ZMIZ2 - PPIA
chr7	86665635	86665636	rs802425	Neuroticism	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	GRM3
chr7	127898505	127898506	rs3757771	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	SND1
chr7	143413668	143413669	rs11771145	Alzheimer's disease or family history of Alzheimer's disease	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease (late onset)	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	EPHA1-AS1
chr9	131835213	131835214	rs2987390	Intelligence	CN_LAMP5-CXCL14_GABA.hyper.dmr.bed	EIF4A1P3 - MED27
chr10	18462173	18462174	rs1998820	Bipolar disorder	CN_MEIS2_GABA.hyper.dmr.bed	CACNB2
chr10	66929324	66929325	rs1925576	Educational attainment (years of education)	CN_MEIS2_GABA.hyper.dmr.bed	LRRTM3, CTNNA3
chr11	57680559	57680560	rs10896636	Neuroticism	CN_MEIS2_GABA.hyper.dmr.bed	ZDHHC5
chr11	124744060	124744061	rs55661361	Autism and schizophrenia (MTAG)	CN_MEIS2_GABA.hyper.dmr.bed	NRGN
chr11	124744060	124744061	rs55661361	Schizophrenia	CN_MEIS2_GABA.hyper.dmr.bed	NRGN
chr15	40430581	40430582	rs11634187	Intelligence	CN_MEIS2_GABA.hyper.dmr.bed	IVD
chr16	9136958	9136959	rs28455634	Bipolar disorder	CN_MEIS2_GABA.hyper.dmr.bed	HAPSTR1 - RPL21P119
chr16	89566316	89566317	rs12932628	Bipolar disorder	CN_MEIS2_GABA.hyper.dmr.bed	RPL13
chr19	58578895	58578896	rs73068339	Intelligence	CN_MEIS2_GABA.hyper.dmr.bed	MZF1-AS1
chr2	65532536	65532537	rs3911862	Bipolar disorder	CN_MEIS2_GABA.hyper.dmr.bed	LINC02934
chr3	54200694	54200695	rs4485754	Intelligence	CN_MEIS2_GABA.hyper.dmr.bed	CACNA2D3
chr4	113447908	113447909	rs13117519	Parkinson's disease or first degree relation to individual with Parkinson's disease	CN_MEIS2_GABA.hyper.dmr.bed	CAMK2D
chr4	175705120	175705121	rs12640626	Educational attainment (years of education)	CN_MEIS2_GABA.hyper.dmr.bed	GPM6A
chr6	20893015	20893016	rs6456379	Intelligence	CN_MEIS2_GABA.hyper.dmr.bed	CDKAL1
chr6	75826615	75826616	rs1280049	Intelligence	CN_MEIS2_GABA.hyper.dmr.bed	MYO6
chr6	98004803	98004804	rs9401452	Intelligence	CN_MEIS2_GABA.hyper.dmr.bed	MMS22L - MIR2113
chr6	108622961	108622962	rs3813498	Intelligence	CN_MEIS2_GABA.hyper.dmr.bed	FOXO3
chr7	44773007	44773008	rs12702087	Educational attainment (years of education)	CN_MEIS2_GABA.hyper.dmr.bed	ZMIZ2 - PPIA
chr7	127898505	127898506	rs3757771	Intelligence	CN_MEIS2_GABA.hyper.dmr.bed	SND1
chr7	143413668	143413669	rs11771145	Alzheimer's disease or family history of Alzheimer's disease	CN_MEIS2_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease (late onset)	CN_MEIS2_GABA.hyper.dmr.bed	EPHA1-AS1
chr7	143413668	143413669	rs11771145	Alzheimer's disease	CN_MEIS2_GABA.hyper.dmr.bed	EPHA1-AS1
chr9	131835213	131835214	rs2987390	Intelligence	CN_MEIS2_GABA.hyper.dmr.bed	EIF4A1P3 - MED27
chr1	161185601	161185602	rs4575098	Alzheimer's disease or family history of Alzheimer's disease	F_M_Glut.hypo.dmr.bed	ADAMTS4
chr1	161185601	161185602	rs4575098	Family history of Alzheimer's disease	F_M_Glut.hypo.dmr.bed	ADAMTS4
chr15	77707093	77707094	rs11072662	Neuroticism	F_M_Glut.hypo.dmr.bed	LINGO1
chr16	28826193	28826194	rs8049439	Educational attainment (years of education)	F_M_Glut.hypo.dmr.bed	ATXN2L
chr17	52508537	52508538	rs16951547	Intelligence	F_M_Glut.hypo.dmr.bed	LINC01982
chr2	100260907	100260908	rs2067783	Intelligence	F_M_Glut.hypo.dmr.bed	LINC01104 - LONRF2
chr2	134707045	134707046	rs57891859	Parkinson's disease or first degree relation to individual with Parkinson's disease	F_M_Glut.hypo.dmr.bed	TMEM163
chr4	102217463	102217464	rs151412	Intelligence	F_M_Glut.hypo.dmr.bed	BANK1 - SLC39A8
chr8	27608797	27608798	rs1532278	Late-onset Alzheimer's disease	F_M_Glut.hypo.dmr.bed	CLU
chr8	27608797	27608798	rs1532278	Family history of Alzheimer's disease	F_M_Glut.hypo.dmr.bed	CLU
chr1	43548608	43548609	rs2842188	Intelligence	CN_VIP_GABA.hyper.dmr.bed	PTPRF
chr1	207803737	207803738	rs7523273	Schizophrenia	CN_VIP_GABA.hyper.dmr.bed	MIR29B2CHG
chr11	57680559	57680560	rs10896636	Neuroticism	CN_VIP_GABA.hyper.dmr.bed	ZDHHC5
chr11	124744060	124744061	rs55661361	Autism and schizophrenia (MTAG)	CN_VIP_GABA.hyper.dmr.bed	NRGN
chr11	124744060	124744061	rs55661361	Schizophrenia	CN_VIP_GABA.hyper.dmr.bed	NRGN
chr14	43505793	43505794	rs62002181	Bipolar disorder	CN_VIP_GABA.hyper.dmr.bed	HNRNPUP1 - KRT8P2
chr15	40430581	40430582	rs11634187	Intelligence	CN_VIP_GABA.hyper.dmr.bed	IVD
chr18	37784133	37784134	rs12961969	Neuroticism	CN_VIP_GABA.hyper.dmr.bed	RPL12P40 - RN7SKP182
chr19	58578895	58578896	rs73068339	Intelligence	CN_VIP_GABA.hyper.dmr.bed	MZF1-AS1
